zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
A;kE8E9;<50;<50;0.0;0.0;0.0
A;kE8E9;<50;50-100;138.99;8.75;29.1
A;kE8E9;<50;100-200;135.55;9.52;28.05
A;kE8E9;<50;200-500;141.73;10.87;29.57
A;kE8E9;<50;500-1000;0.0;0.0;0.0
A;kE8E9;<50;1000-5000;0.0;0.0;0.0
A;kE8E9;<50;5000-10000;0.0;0.0;0.0
A;kE8E9;<50;>10000;0.0;0.0;0.0
A;kE8E9;50-100;<50;0.0;0.0;0.0
A;kE8E9;50-100;50-100;0.0;0.0;0.0
A;kE8E9;50-100;100-200;118.96;7.58;24.92
A;kE8E9;50-100;200-500;131.07;12.23;27.22
A;kE8E9;50-100;500-1000;110.28;6.44;22.19
A;kE8E9;50-100;1000-5000;220.98;7.21;45.27
A;kE8E9;50-100;5000-10000;0.0;0.0;0.0
A;kE8E9;50-100;>10000;0.0;0.0;0.0
A;kE8E9;100-200;<50;0.0;0.0;0.0
A;kE8E9;100-200;50-100;0.0;0.0;0.0
A;kE8E9;100-200;100-200;0.0;0.0;0.0
A;kE8E9;100-200;200-500;111.02;6.33;22.98
A;kE8E9;100-200;500-1000;105.05;13.23;21.85
A;kE8E9;100-200;1000-5000;201.49;7.92;41.48
A;kE8E9;100-200;5000-10000;0.0;0.0;0.0
A;kE8E9;100-200;>10000;0.0;0.0;0.0
A;kE8E9;200-500;<50;0.0;0.0;0.0
A;kE8E9;200-500;50-100;0.0;0.0;0.0
A;kE8E9;200-500;100-200;0.0;0.0;0.0
A;kE8E9;200-500;200-500;0.0;0.0;0.0
A;kE8E9;200-500;500-1000;107.56;3.76;22.07
A;kE8E9;200-500;1000-5000;0.0;0.0;0.0
A;kE8E9;200-500;5000-10000;0.0;0.0;0.0
A;kE8E9;200-500;>10000;0.0;0.0;0.0
A;kE8E9;500-1000;<50;0.0;0.0;0.0
A;kE8E9;500-1000;50-100;0.0;0.0;0.0
A;kE8E9;500-1000;100-200;0.0;0.0;0.0
A;kE8E9;500-1000;200-500;0.0;0.0;0.0
A;kE8E9;500-1000;500-1000;0.0;0.0;0.0
A;kE8E9;500-1000;1000-5000;0.0;0.0;0.0
A;kE8E9;500-1000;5000-10000;0.0;0.0;0.0
A;kE8E9;500-1000;>10000;0.0;0.0;0.0
A;kE8E9;1000-5000;<50;0.0;0.0;0.0
A;kE8E9;1000-5000;50-100;0.0;0.0;0.0
A;kE8E9;1000-5000;100-200;0.0;0.0;0.0
A;kE8E9;1000-5000;200-500;0.0;0.0;0.0
A;kE8E9;1000-5000;500-1000;0.0;0.0;0.0
A;kE8E9;1000-5000;1000-5000;0.0;0.0;0.0
A;kE8E9;1000-5000;5000-10000;0.0;0.0;0.0
A;kE8E9;1000-5000;>10000;0.0;0.0;0.0
A;kE8E9;>5000;<50;0.0;0.0;0.0
A;kE8E9;>5000;50-100;0.0;0.0;0.0
A;kE8E9;>5000;100-200;0.0;0.0;0.0
A;kE8E9;>5000;200-500;0.0;0.0;0.0
A;kE8E9;>5000;500-1000;0.0;0.0;0.0
A;kE8E9;>5000;1000-5000;0.0;0.0;0.0
A;kE8E9;>5000;5000-10000;0.0;0.0;0.0
A;kE8E9;>5000;>10000;0.0;0.0;0.0
A;kE10E11;<50;<50;0.0;0.0;0.0
A;kE10E11;<50;50-100;173.97;7.32;35.89
A;kE10E11;<50;100-200;165.18;12.44;34.35
A;kE10E11;<50;200-500;160.23;14.73;33.45
A;kE10E11;<50;500-1000;0.0;0.0;0.0
A;kE10E11;<50;1000-5000;0.0;0.0;0.0
A;kE10E11;<50;5000-10000;0.0;0.0;0.0
A;kE10E11;<50;>10000;0.0;0.0;0.0
A;kE10E11;50-100;<50;0.0;0.0;0.0
A;kE10E11;50-100;50-100;0.0;0.0;0.0
A;kE10E11;50-100;100-200;132.8;8.49;27.82
A;kE10E11;50-100;200-500;123.59;13.46;25.95
A;kE10E11;50-100;500-1000;0.0;0.0;0.0
A;kE10E11;50-100;1000-5000;0.0;0.0;0.0
A;kE10E11;50-100;5000-10000;0.0;0.0;0.0
A;kE10E11;50-100;>10000;0.0;0.0;0.0
A;kE10E11;100-200;<50;0.0;0.0;0.0
A;kE10E11;100-200;50-100;0.0;0.0;0.0
A;kE10E11;100-200;100-200;0.0;0.0;0.0
A;kE10E11;100-200;200-500;93.63;12.16;19.92
A;kE10E11;100-200;500-1000;132.26;12.41;27.41
A;kE10E11;100-200;1000-5000;134.54;5.2;27.68
A;kE10E11;100-200;5000-10000;0.0;0.0;0.0
A;kE10E11;100-200;>10000;0.0;0.0;0.0
A;kE10E11;200-500;<50;0.0;0.0;0.0
A;kE10E11;200-500;50-100;0.0;0.0;0.0
A;kE10E11;200-500;100-200;0.0;0.0;0.0
A;kE10E11;200-500;200-500;0.0;0.0;0.0
A;kE10E11;200-500;500-1000;65.75;65.35;15.34
A;kE10E11;200-500;1000-5000;104.21;6.34;21.79
A;kE10E11;200-500;5000-10000;0.0;0.0;0.0
A;kE10E11;200-500;>10000;0.0;0.0;0.0
A;kE10E11;500-1000;<50;0.0;0.0;0.0
A;kE10E11;500-1000;50-100;0.0;0.0;0.0
A;kE10E11;500-1000;100-200;0.0;0.0;0.0
A;kE10E11;500-1000;200-500;0.0;0.0;0.0
A;kE10E11;500-1000;500-1000;0.0;0.0;0.0
A;kE10E11;500-1000;1000-5000;0.0;0.0;0.0
A;kE10E11;500-1000;5000-10000;0.0;0.0;0.0
A;kE10E11;500-1000;>10000;0.0;0.0;0.0
A;kE10E11;1000-5000;<50;0.0;0.0;0.0
A;kE10E11;1000-5000;50-100;0.0;0.0;0.0
A;kE10E11;1000-5000;100-200;0.0;0.0;0.0
A;kE10E11;1000-5000;200-500;0.0;0.0;0.0
A;kE10E11;1000-5000;500-1000;0.0;0.0;0.0
A;kE10E11;1000-5000;1000-5000;0.0;0.0;0.0
A;kE10E11;1000-5000;5000-10000;0.0;0.0;0.0
A;kE10E11;1000-5000;>10000;0.0;0.0;0.0
A;kE10E11;>5000;<50;0.0;0.0;0.0
A;kE10E11;>5000;50-100;0.0;0.0;0.0
A;kE10E11;>5000;100-200;0.0;0.0;0.0
A;kE10E11;>5000;200-500;0.0;0.0;0.0
A;kE10E11;>5000;500-1000;0.0;0.0;0.0
A;kE10E11;>5000;1000-5000;0.0;0.0;0.0
A;kE10E11;>5000;5000-10000;0.0;0.0;0.0
A;kE10E11;>5000;>10000;0.0;0.0;0.0
A;kE12E13;<50;<50;0.0;0.0;0.0
A;kE12E13;<50;50-100;193.63;42.42;43.34
A;kE12E13;<50;100-200;153.76;27.65;31.72
A;kE12E13;<50;200-500;153.06;49.3;33.81
A;kE12E13;<50;500-1000;125.47;9.42;26.5
A;kE12E13;<50;1000-5000;0.0;0.0;0.0
A;kE12E13;<50;5000-10000;0.0;0.0;0.0
A;kE12E13;<50;>10000;0.0;0.0;0.0
A;kE12E13;50-100;<50;0.0;0.0;0.0
A;kE12E13;50-100;50-100;0.0;0.0;0.0
A;kE12E13;50-100;100-200;140.24;20.13;30.02
A;kE12E13;50-100;200-500;116.26;18.97;24.62
A;kE12E13;50-100;500-1000;0.0;0.0;0.0
A;kE12E13;50-100;1000-5000;0.0;0.0;0.0
A;kE12E13;50-100;5000-10000;0.0;0.0;0.0
A;kE12E13;50-100;>10000;0.0;0.0;0.0
A;kE12E13;100-200;<50;0.0;0.0;0.0
A;kE12E13;100-200;50-100;0.0;0.0;0.0
A;kE12E13;100-200;100-200;0.0;0.0;0.0
A;kE12E13;100-200;200-500;96.36;16.05;20.52
A;kE12E13;100-200;500-1000;118.54;24.5;23.78
A;kE12E13;100-200;1000-5000;126.5;7.34;25.99
A;kE12E13;100-200;5000-10000;0.0;0.0;0.0
A;kE12E13;100-200;>10000;0.0;0.0;0.0
A;kE12E13;200-500;<50;0.0;0.0;0.0
A;kE12E13;200-500;50-100;0.0;0.0;0.0
A;kE12E13;200-500;100-200;0.0;0.0;0.0
A;kE12E13;200-500;200-500;0.0;0.0;0.0
A;kE12E13;200-500;500-1000;75.93;22.28;16.24
A;kE12E13;200-500;1000-5000;83.86;5.19;17.12
A;kE12E13;200-500;5000-10000;0.0;0.0;0.0
A;kE12E13;200-500;>10000;0.0;0.0;0.0
A;kE12E13;500-1000;<50;0.0;0.0;0.0
A;kE12E13;500-1000;50-100;0.0;0.0;0.0
A;kE12E13;500-1000;100-200;0.0;0.0;0.0
A;kE12E13;500-1000;200-500;0.0;0.0;0.0
A;kE12E13;500-1000;500-1000;0.0;0.0;0.0
A;kE12E13;500-1000;1000-5000;0.0;0.0;0.0
A;kE12E13;500-1000;5000-10000;0.0;0.0;0.0
A;kE12E13;500-1000;>10000;0.0;0.0;0.0
A;kE12E13;1000-5000;<50;0.0;0.0;0.0
A;kE12E13;1000-5000;50-100;0.0;0.0;0.0
A;kE12E13;1000-5000;100-200;0.0;0.0;0.0
A;kE12E13;1000-5000;200-500;0.0;0.0;0.0
A;kE12E13;1000-5000;500-1000;0.0;0.0;0.0
A;kE12E13;1000-5000;1000-5000;0.0;0.0;0.0
A;kE12E13;1000-5000;5000-10000;0.0;0.0;0.0
A;kE12E13;1000-5000;>10000;0.0;0.0;0.0
A;kE12E13;>5000;<50;0.0;0.0;0.0
A;kE12E13;>5000;50-100;0.0;0.0;0.0
A;kE12E13;>5000;100-200;0.0;0.0;0.0
A;kE12E13;>5000;200-500;0.0;0.0;0.0
A;kE12E13;>5000;500-1000;0.0;0.0;0.0
A;kE12E13;>5000;1000-5000;0.0;0.0;0.0
A;kE12E13;>5000;5000-10000;0.0;0.0;0.0
A;kE12E13;>5000;>10000;0.0;0.0;0.0
A;kE14E15;<50;<50;0.0;0.0;0.0
A;kE14E15;<50;50-100;179.62;122.23;40.84
A;kE14E15;<50;100-200;134.0;62.44;30.35
A;kE14E15;<50;200-500;225.61;58.04;49.9
A;kE14E15;<50;500-1000;0.0;0.0;0.0
A;kE14E15;<50;1000-5000;0.0;0.0;0.0
A;kE14E15;<50;5000-10000;0.0;0.0;0.0
A;kE14E15;<50;>10000;0.0;0.0;0.0
A;kE14E15;50-100;<50;0.0;0.0;0.0
A;kE14E15;50-100;50-100;0.0;0.0;0.0
A;kE14E15;50-100;100-200;140.44;34.13;30.39
A;kE14E15;50-100;200-500;103.49;16.17;21.74
A;kE14E15;50-100;500-1000;0.0;0.0;0.0
A;kE14E15;50-100;1000-5000;191.12;0.0;38.22
A;kE14E15;50-100;5000-10000;0.0;0.0;0.0
A;kE14E15;50-100;>10000;0.0;0.0;0.0
A;kE14E15;100-200;<50;0.0;0.0;0.0
A;kE14E15;100-200;50-100;0.0;0.0;0.0
A;kE14E15;100-200;100-200;0.0;0.0;0.0
A;kE14E15;100-200;200-500;94.72;20.22;20.11
A;kE14E15;100-200;500-1000;115.42;20.93;24.29
A;kE14E15;100-200;1000-5000;0.0;0.0;0.0
A;kE14E15;100-200;5000-10000;0.0;0.0;0.0
A;kE14E15;100-200;>10000;0.0;0.0;0.0
A;kE14E15;200-500;<50;0.0;0.0;0.0
A;kE14E15;200-500;50-100;0.0;0.0;0.0
A;kE14E15;200-500;100-200;0.0;0.0;0.0
A;kE14E15;200-500;200-500;0.0;0.0;0.0
A;kE14E15;200-500;500-1000;175.37;7.53;36.2
A;kE14E15;200-500;1000-5000;72.86;6.14;14.94
A;kE14E15;200-500;5000-10000;0.0;0.0;0.0
A;kE14E15;200-500;>10000;0.0;0.0;0.0
A;kE14E15;500-1000;<50;0.0;0.0;0.0
A;kE14E15;500-1000;50-100;0.0;0.0;0.0
A;kE14E15;500-1000;100-200;0.0;0.0;0.0
A;kE14E15;500-1000;200-500;0.0;0.0;0.0
A;kE14E15;500-1000;500-1000;0.0;0.0;0.0
A;kE14E15;500-1000;1000-5000;0.0;0.0;0.0
A;kE14E15;500-1000;5000-10000;0.0;0.0;0.0
A;kE14E15;500-1000;>10000;0.0;0.0;0.0
A;kE14E15;1000-5000;<50;0.0;0.0;0.0
A;kE14E15;1000-5000;50-100;0.0;0.0;0.0
A;kE14E15;1000-5000;100-200;0.0;0.0;0.0
A;kE14E15;1000-5000;200-500;0.0;0.0;0.0
A;kE14E15;1000-5000;500-1000;0.0;0.0;0.0
A;kE14E15;1000-5000;1000-5000;0.0;0.0;0.0
A;kE14E15;1000-5000;5000-10000;0.0;0.0;0.0
A;kE14E15;1000-5000;>10000;0.0;0.0;0.0
A;kE14E15;>5000;<50;0.0;0.0;0.0
A;kE14E15;>5000;50-100;0.0;0.0;0.0
A;kE14E15;>5000;100-200;0.0;0.0;0.0
A;kE14E15;>5000;200-500;0.0;0.0;0.0
A;kE14E15;>5000;500-1000;0.0;0.0;0.0
A;kE14E15;>5000;1000-5000;0.0;0.0;0.0
A;kE14E15;>5000;5000-10000;0.0;0.0;0.0
A;kE14E15;>5000;>10000;0.0;0.0;0.0
A;kE16;<50;<50;0.0;0.0;0.0
A;kE16;<50;50-100;0.0;0.0;0.0
A;kE16;<50;100-200;96.14;86.36;21.23
A;kE16;<50;200-500;123.02;8.06;25.8
A;kE16;<50;500-1000;0.0;0.0;0.0
A;kE16;<50;1000-5000;0.0;0.0;0.0
A;kE16;<50;5000-10000;0.0;0.0;0.0
A;kE16;<50;>10000;0.0;0.0;0.0
A;kE16;50-100;<50;0.0;0.0;0.0
A;kE16;50-100;50-100;0.0;0.0;0.0
A;kE16;50-100;100-200;58.31;28.75;12.24
A;kE16;50-100;200-500;82.12;32.04;17.53
A;kE16;50-100;500-1000;115.44;63.84;25.4
A;kE16;50-100;1000-5000;0.0;0.0;0.0
A;kE16;50-100;5000-10000;0.0;0.0;0.0
A;kE16;50-100;>10000;0.0;0.0;0.0
A;kE16;100-200;<50;0.0;0.0;0.0
A;kE16;100-200;50-100;0.0;0.0;0.0
A;kE16;100-200;100-200;0.0;0.0;0.0
A;kE16;100-200;200-500;62.84;9.32;13.28
A;kE16;100-200;500-1000;107.84;27.43;22.57
A;kE16;100-200;1000-5000;0.0;0.0;0.0
A;kE16;100-200;5000-10000;0.0;0.0;0.0
A;kE16;100-200;>10000;0.0;0.0;0.0
A;kE16;200-500;<50;0.0;0.0;0.0
A;kE16;200-500;50-100;0.0;0.0;0.0
A;kE16;200-500;100-200;0.0;0.0;0.0
A;kE16;200-500;200-500;37.88;5.43;8.38
A;kE16;200-500;500-1000;24.21;40.76;5.71
A;kE16;200-500;1000-5000;0.0;0.0;0.0
A;kE16;200-500;5000-10000;0.0;0.0;0.0
A;kE16;200-500;>10000;0.0;0.0;0.0
A;kE16;500-1000;<50;0.0;0.0;0.0
A;kE16;500-1000;50-100;0.0;0.0;0.0
A;kE16;500-1000;100-200;0.0;0.0;0.0
A;kE16;500-1000;200-500;0.0;0.0;0.0
A;kE16;500-1000;500-1000;0.0;0.0;0.0
A;kE16;500-1000;1000-5000;0.0;0.0;0.0
A;kE16;500-1000;5000-10000;0.0;0.0;0.0
A;kE16;500-1000;>10000;0.0;0.0;0.0
A;kE16;1000-5000;<50;0.0;0.0;0.0
A;kE16;1000-5000;50-100;0.0;0.0;0.0
A;kE16;1000-5000;100-200;0.0;0.0;0.0
A;kE16;1000-5000;200-500;0.0;0.0;0.0
A;kE16;1000-5000;500-1000;0.0;0.0;0.0
A;kE16;1000-5000;1000-5000;0.0;0.0;0.0
A;kE16;1000-5000;5000-10000;0.0;0.0;0.0
A;kE16;1000-5000;>10000;0.0;0.0;0.0
A;kE16;>5000;<50;0.0;0.0;0.0
A;kE16;>5000;50-100;0.0;0.0;0.0
A;kE16;>5000;100-200;0.0;0.0;0.0
A;kE16;>5000;200-500;0.0;0.0;0.0
A;kE16;>5000;500-1000;0.0;0.0;0.0
A;kE16;>5000;1000-5000;0.0;0.0;0.0
A;kE16;>5000;5000-10000;0.0;0.0;0.0
A;kE16;>5000;>10000;0.0;0.0;0.0
A;k2015;<50;<50;0.0;0.0;0.0
A;k2015;<50;50-100;0.0;0.0;0.0
A;k2015;<50;100-200;131.43;51.82;28.93
A;k2015;<50;200-500;0.0;0.0;0.0
A;k2015;<50;500-1000;0.0;0.0;0.0
A;k2015;<50;1000-5000;0.0;0.0;0.0
A;k2015;<50;5000-10000;0.0;0.0;0.0
A;k2015;<50;>10000;0.0;0.0;0.0
A;k2015;50-100;<50;0.0;0.0;0.0
A;k2015;50-100;50-100;0.0;0.0;0.0
A;k2015;50-100;100-200;125.43;46.41;29.59
A;k2015;50-100;200-500;80.83;53.39;18.46
A;k2015;50-100;500-1000;0.0;0.0;0.0
A;k2015;50-100;1000-5000;0.0;0.0;0.0
A;k2015;50-100;5000-10000;0.0;0.0;0.0
A;k2015;50-100;>10000;0.0;0.0;0.0
A;k2015;100-200;<50;0.0;0.0;0.0
A;k2015;100-200;50-100;0.0;0.0;0.0
A;k2015;100-200;100-200;0.0;0.0;0.0
A;k2015;100-200;200-500;63.99;31.95;14.54
A;k2015;100-200;500-1000;75.56;34.86;16.21
A;k2015;100-200;1000-5000;0.0;0.0;0.0
A;k2015;100-200;5000-10000;0.0;0.0;0.0
A;k2015;100-200;>10000;0.0;0.0;0.0
A;k2015;200-500;<50;0.0;0.0;0.0
A;k2015;200-500;50-100;0.0;0.0;0.0
A;k2015;200-500;100-200;0.0;0.0;0.0
A;k2015;200-500;200-500;0.0;0.0;0.0
A;k2015;200-500;500-1000;38.77;12.18;8.94
A;k2015;200-500;1000-5000;38.77;62.96;8.16
A;k2015;200-500;5000-10000;0.0;0.0;0.0
A;k2015;200-500;>10000;0.0;0.0;0.0
A;k2015;500-1000;<50;0.0;0.0;0.0
A;k2015;500-1000;50-100;0.0;0.0;0.0
A;k2015;500-1000;100-200;0.0;0.0;0.0
A;k2015;500-1000;200-500;0.0;0.0;0.0
A;k2015;500-1000;500-1000;0.0;0.0;0.0
A;k2015;500-1000;1000-5000;0.0;0.0;0.0
A;k2015;500-1000;5000-10000;0.0;0.0;0.0
A;k2015;500-1000;>10000;0.0;0.0;0.0
A;k2015;1000-5000;<50;0.0;0.0;0.0
A;k2015;1000-5000;50-100;0.0;0.0;0.0
A;k2015;1000-5000;100-200;0.0;0.0;0.0
A;k2015;1000-5000;200-500;0.0;0.0;0.0
A;k2015;1000-5000;500-1000;0.0;0.0;0.0
A;k2015;1000-5000;1000-5000;0.0;0.0;0.0
A;k2015;1000-5000;5000-10000;0.0;0.0;0.0
A;k2015;1000-5000;>10000;0.0;0.0;0.0
A;k2015;>5000;<50;0.0;0.0;0.0
A;k2015;>5000;50-100;0.0;0.0;0.0
A;k2015;>5000;100-200;0.0;0.0;0.0
A;k2015;>5000;200-500;0.0;0.0;0.0
A;k2015;>5000;500-1000;0.0;0.0;0.0
A;k2015;>5000;1000-5000;0.0;0.0;0.0
A;k2015;>5000;5000-10000;0.0;0.0;0.0
A;k2015;>5000;>10000;0.0;0.0;0.0
B;kE8E9;<50;<50;0.0;0.0;0.0
B;kE8E9;<50;50-100;217.71;19.56;44.84
B;kE8E9;<50;100-200;195.36;18.82;39.9
B;kE8E9;<50;200-500;204.97;21.41;41.68
B;kE8E9;<50;500-1000;317.85;42.28;63.99
B;kE8E9;<50;1000-5000;383.01;8.67;77.89
B;kE8E9;<50;5000-10000;0.0;0.0;0.0
B;kE8E9;<50;>10000;0.0;0.0;0.0
B;kE8E9;50-100;<50;0.0;0.0;0.0
B;kE8E9;50-100;50-100;161.0;10.05;33.36
B;kE8E9;50-100;100-200;161.53;18.87;33.98
B;kE8E9;50-100;200-500;168.47;17.33;34.5
B;kE8E9;50-100;500-1000;197.51;20.79;40.2
B;kE8E9;50-100;1000-5000;337.55;20.47;69.37
B;kE8E9;50-100;5000-10000;0.0;0.0;0.0
B;kE8E9;50-100;>10000;0.0;0.0;0.0
B;kE8E9;100-200;<50;0.0;0.0;0.0
B;kE8E9;100-200;50-100;81.81;13.82;18.11
B;kE8E9;100-200;100-200;110.94;12.15;22.81
B;kE8E9;100-200;200-500;139.85;15.41;28.89
B;kE8E9;100-200;500-1000;149.63;17.12;30.32
B;kE8E9;100-200;1000-5000;184.24;19.8;37.61
B;kE8E9;100-200;5000-10000;0.0;0.0;0.0
B;kE8E9;100-200;>10000;0.0;0.0;0.0
B;kE8E9;200-500;<50;0.0;0.0;0.0
B;kE8E9;200-500;50-100;55.29;0.59;11.15
B;kE8E9;200-500;100-200;71.22;3.27;14.05
B;kE8E9;200-500;200-500;103.28;13.24;21.59
B;kE8E9;200-500;500-1000;121.28;12.61;24.77
B;kE8E9;200-500;1000-5000;130.0;20.3;26.27
B;kE8E9;200-500;5000-10000;0.0;0.0;0.0
B;kE8E9;200-500;>10000;0.0;0.0;0.0
B;kE8E9;500-1000;<50;0.0;0.0;0.0
B;kE8E9;500-1000;50-100;0.0;0.0;0.0
B;kE8E9;500-1000;100-200;0.0;0.0;0.0
B;kE8E9;500-1000;200-500;51.92;6.03;11.28
B;kE8E9;500-1000;500-1000;36.35;0.17;7.3
B;kE8E9;500-1000;1000-5000;79.2;8.6;16.56
B;kE8E9;500-1000;5000-10000;0.0;0.0;0.0
B;kE8E9;500-1000;>10000;0.0;0.0;0.0
B;kE8E9;1000-5000;<50;0.0;0.0;0.0
B;kE8E9;1000-5000;50-100;0.0;0.0;0.0
B;kE8E9;1000-5000;100-200;0.0;0.0;0.0
B;kE8E9;1000-5000;200-500;0.0;0.0;0.0
B;kE8E9;1000-5000;500-1000;0.0;0.0;0.0
B;kE8E9;1000-5000;1000-5000;0.0;0.0;0.0
B;kE8E9;1000-5000;5000-10000;0.0;0.0;0.0
B;kE8E9;1000-5000;>10000;0.0;0.0;0.0
B;kE8E9;>5000;<50;0.0;0.0;0.0
B;kE8E9;>5000;50-100;0.0;0.0;0.0
B;kE8E9;>5000;100-200;0.0;0.0;0.0
B;kE8E9;>5000;200-500;0.0;0.0;0.0
B;kE8E9;>5000;500-1000;0.0;0.0;0.0
B;kE8E9;>5000;1000-5000;0.0;0.0;0.0
B;kE8E9;>5000;5000-10000;0.0;0.0;0.0
B;kE8E9;>5000;>10000;0.0;0.0;0.0
B;kE10E11;<50;<50;0.0;0.0;0.0
B;kE10E11;<50;50-100;218.96;18.38;45.15
B;kE10E11;<50;100-200;176.19;19.04;36.21
B;kE10E11;<50;200-500;199.65;22.12;40.58
B;kE10E11;<50;500-1000;326.92;10.91;66.88
B;kE10E11;<50;1000-5000;228.59;18.33;48.45
B;kE10E11;<50;5000-10000;0.0;0.0;0.0
B;kE10E11;<50;>10000;0.0;0.0;0.0
B;kE10E11;50-100;<50;0.0;0.0;0.0
B;kE10E11;50-100;50-100;139.57;16.66;29.58
B;kE10E11;50-100;100-200;150.13;16.15;31.68
B;kE10E11;50-100;200-500;149.6;16.21;30.74
B;kE10E11;50-100;500-1000;203.88;20.83;41.71
B;kE10E11;50-100;1000-5000;328.0;9.41;67.01
B;kE10E11;50-100;5000-10000;0.0;0.0;0.0
B;kE10E11;50-100;>10000;0.0;0.0;0.0
B;kE10E11;100-200;<50;0.0;0.0;0.0
B;kE10E11;100-200;50-100;117.94;23.37;25.22
B;kE10E11;100-200;100-200;113.3;10.57;23.79
